KEY_DISTRITO,KEY_SECCION,Antig_1901_a_1940,Antig_1941_a_1950,Antig_1951_a_1960,Antig_1961_a_1970,Antig_1971_a_1980,Antig_1981_a_1990,Antig_1991_a_2000,Antig_2001_a_2010,Antig_2011_a_2020,Antig_2021_a_2030,Antig_Menor_1901
05,053,3,2,3,30,30,2,3,4,1,0,0
05,054,2,2,11,19,3,0,1,0,0,0,0
05,055,1,1,2,34,14,2,0,0,0,0,1
05,056,1,6,6,26,3,0,6,0,0,0,0
05,057,0,0,0,29,3,4,0,1,0,0,0
05,058,0,2,21,22,3,0,0,0,1,0,0
05,059,29,14,14,16,5,3,0,0,0,0,0
05,060,3,10,13,10,3,1,0,0,0,0,0
05,061,45,14,11,13,25,3,6,2,2,0,18
05,062,8,6,22,28,11,4,3,10,1,0,5
05,063,33,10,16,28,27,12,7,6,0,0,1
05,064,38,17,6,14,46,5,1,4,0,0,5
05,065,41,14,14,18,4,2,1,1,1,0,1
05,066,34,11,8,15,14,9,5,1,0,0,0
05,067,32,8,7,38,4,5,0,2,0,0,1
05,068,53,17,13,10,22,4,1,2,3,2,0
05,069,41,18,14,7,12,6,1,0,1,2,6
05,070,13,9,21,24,18,6,0,1,1,0,2
05,071,31,20,17,28,23,4,4,4,3,1,10
05,072,24,7,19,23,11,4,0,2,1,1,2
05,073,14,8,22,40,19,5,9,4,1,0,10
05,074,19,1,17,23,31,8,3,3,0,0,0
05,075,29,11,7,24,7,3,1,1,0,0,1
05,076,13,9,5,14,29,2,7,1,0,0,0
05,077,2,20,29,19,5,2,0,1,1,0,0
05,078,17,23,19,21,12,0,2,5,0,2,0
05,079,7,7,14,12,22,4,0,0,0,0,0
05,080,23,12,23,20,2,3,4,10,0,0,8
05,081,32,10,8,20,20,1,10,2,1,0,2
05,082,29,11,13,29,12,7,4,18,2,2,17
05,083,16,9,8,15,19,2,3,5,2,0,5
05,084,35,9,13,12,15,6,3,14,0,0,1
05,085,35,7,15,5,18,6,3,6,0,0,13
05,086,17,4,11,16,31,2,3,8,0,0,2
05,087,11,10,20,26,11,3,1,7,2,0,0
05,088,7,6,4,14,17,15,1,0,1,0,8
05,089,23,18,11,19,25,12,11,6,2,0,17
05,090,18,6,12,28,26,6,10,5,3,0,17
05,091,9,10,10,27,15,1,5,4,0,0,5
05,092,20,4,13,23,36,5,11,7,9,0,16
05,093,7,8,10,6,16,2,12,7,1,0,2
05,094,15,7,14,34,10,7,4,5,1,0,1
05,095,4,3,7,13,4,5,2,0,2,0,0
05,096,3,3,3,20,6,3,1,1,0,0,3
05,097,9,11,14,22,14,8,6,4,5,1,4
05,098,4,2,7,5,12,5,6,2,0,0,0
06,001,42,10,8,13,6,8,3,8,1,4,5
06,002,11,0,8,18,14,6,2,4,2,0,1
06,003,18,5,18,22,10,17,7,14,0,1,5
06,004,51,17,23,34,16,8,5,8,3,2,16
